Class,Test,Time (sec)
tests.test_api.TestSearchAPI,test_search_returns_200,0.013
tests.test_api.TestSearchAPI,test_search_returns_json_array,0.004
tests.test_api.TestSearchAPI,test_search_empty_query,0.003
tests.test_api.TestSearchAPI,test_search_passes_blank_category_as_none,0.001
tests.test_api.TestSearchAPI,test_search_returns_500_when_backend_search_fails,0.003
tests.test_api.TestRateAPI,test_rate_without_auth_returns_401,0.001
tests.test_api.TestRateAPI,test_rate_requires_book_id,0.001
tests.test_api.TestRateAPI,test_rate_rejects_invalid_rating_value,0.002
tests.test_api.TestRateAPI,test_rate_updates_existing_rating,0.002
tests.test_api.TestRateAPI,test_rate_creates_new_rating_when_missing,0.001
tests.test_api.TestRateAPI,test_rate_rejects_non_numeric_rating,0.001
tests.test_api.TestLikeAPI,test_like_without_auth_returns_401,0.001
tests.test_api.TestLikeAPI,test_like_inserts_only_when_not_already_liked,0.001
tests.test_api.TestLikeAPI,test_unlike_deletes_existing_like,0.001
tests.test_api.TestLikeAPI,test_like_repeated_submission_records_only_once,0.001
tests.test_api.TestPurchaseAPI,test_purchase_without_auth_returns_401,0.001
tests.test_api.TestPurchaseAPI,test_purchase_requires_book_id,0.001
tests.test_api.TestPurchaseAPI,test_purchase_records_purchase,0.001
tests.test_api.TestCategoriesAPI,test_categories_returns_list,0.006
tests.test_api.TestInteractionAPI,test_interact_requires_book_id,0.001
tests.test_api.TestInteractionAPI,test_interact_records_interaction,0.001
tests.test_api.TestInteractionAPI,test_interact_defaults_missing_interaction_to_view,0.001
tests.test_api.TestInteractionAPI,test_user_interactions_serializes_object_ids_and_dates,0.001
tests.test_api.TestInteractionAPI,test_user_interactions_requires_authentication,0.001
tests.test_api.TestBooksAPI,test_books_endpoint_returns_collection_payload,0.001
tests.test_auth.TestRegistration,test_register_page_loads,0.010
tests.test_auth.TestRegistration,test_register_requires_email,0.001
tests.test_auth.TestRegistration,test_register_requires_password,0.001
tests.test_auth.TestRegistration,test_register_valid_email_format,0.001
tests.test_auth.TestRegistration,test_register_rejects_duplicate_username,0.001
tests.test_auth.TestRegistration,test_register_rejects_duplicate_email,0.001
tests.test_auth.TestRegistration,test_register_rejects_short_password,0.001
tests.test_auth.TestRegistration,test_register_success_redirects_to_login,0.088
tests.test_auth.TestRegistration,test_register_rejects_injection_like_email,0.001
tests.test_auth.TestLogin,test_login_page_loads,0.002
tests.test_auth.TestLogin,test_login_with_invalid_credentials,0.014
tests.test_auth.TestLogin,test_login_redirects_when_successful,0.014
tests.test_auth.TestLogin,test_login_sets_session_when_successful,0.187
tests.test_auth.TestLogout,test_logout_redirects,0.001
tests.test_auth.TestForgotPassword,test_forgot_password_page_loads,0.002
tests.test_auth.TestForgotPassword,test_forgot_password_requires_email,0.001
tests.test_auth.TestForgotPassword,test_forgot_password_generates_token_for_known_email,0.001
tests.test_auth.TestForgotPassword,test_forgot_password_hides_unknown_email,0.001
tests.test_auth.TestResetPassword,test_reset_password_invalid_token_redirects,0.001
tests.test_auth.TestResetPassword,test_reset_password_requires_matching_passwords,0.003
tests.test_auth.TestResetPassword,test_reset_password_updates_password_and_redirects,0.088
tests.test_auth.TestResetPassword,test_reset_password_rejects_empty_password,0.001
tests.test_models.TestModels,test_create_user_requires_email,0.001
tests.test_models.TestModels,test_create_user_normalizes_email_and_defaults,0.001
tests.test_models.TestModels,test_update_user_profile_only_sets_passed_fields,0.001
tests.test_models.TestModels,test_insert_interaction_converts_types,0.001
tests.test_models.TestModels,test_search_books_combines_text_and_category,0.001
tests.test_models.TestModels,test_get_all_categories_filters_empty_values,0.001
tests.test_models.TestModels,test_get_user_by_reset_token_checks_expiry,0.001
tests.test_models.TestModels,test_update_user_password_clears_reset_fields,0.001
tests.test_recommendations.TestRecommendations,test_profile_shows_recommendations_section,0.001
tests.test_recommendations.TestRecommendations,test_recommend_api_returns_serialized_recommendations,0.001
tests.test_recommendations.TestRecommendations,test_admin_rebuild_sim_endpoint_responds,0.104
tests.test_recommendations.TestRecommendations,test_profile_loads_recommendation_data_for_logged_in_user,0.012
tests.test_recommendations.TestRecommendations,test_profile_clears_session_when_user_missing,0.001
tests.test_recommendations.TestRecommendations,test_profile_edit_updates_user_details_when_logged_in,0.001
tests.test_recommendations.TestSimilarBooks,test_product_page_has_similar_section,0.373
tests.test_recommendations.TestSimilarBooks,test_product_page_tracks_first_view_for_logged_in_user,0.002
tests.test_recommendations.TestSimilarBooks,test_product_page_does_not_duplicate_existing_view,0.002
tests.test_recommendations.TestRecommendationUtilities,test_build_item_similarity_creates_cache_file,0.012
tests.test_recommendations.TestRecommendationUtilities,test_get_similar_books_returns_empty_for_missing_book,0.000
tests.test_recommendations.TestRecommendationUtilities,test_get_recommendations_returns_popular_books_for_cold_start,0.003
tests.test_recommendations.TestRecommendationUtilities,test_get_recommendations_combines_collaborative_and_content_scores,0.003
tests.test_recommendations.TestRecommendationUtilities,test_get_similar_books_uses_cache_and_content_boosts,0.003
tests.test_routes.TestPublicRoutes,test_index_loads,0.034
tests.test_routes.TestPublicRoutes,test_login_loads,0.001
tests.test_routes.TestPublicRoutes,test_register_loads,0.001
tests.test_routes.TestPublicRoutes,test_product_page_loads,0.310
tests.test_routes.TestPublicRoutes,test_category_page_loads,0.011
tests.test_routes.TestProtectedRoutes,test_profile_redirects_to_login,0.001
tests.test_routes.TestProtectedRoutes,test_history_redirects_to_login,0.001
tests.test_search.TestSearch,test_search_by_text,0.004
tests.test_search.TestSearch,test_search_by_category,0.006
tests.test_search.TestSearch,test_search_combined,0.012
tests.test_search.TestSearch,test_search_result_structure,0.003
